comparison,description,metric,lower_is_better,n_patients,mean_diff,std_diff,ci_lo_95,ci_hi_95,cohens_dz,shapiro_p,t_stat,t_pvalue,t_pvalue_fdr,wilcoxon_p,wilcoxon_p_fdr,pct_A_wins
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,ptv_D95_diff,True,367,-0.1058,0.1862,-0.1249,-0.0867,-0.569,0.0094,-10.893,0.0,0.0,0.0,0.0,71.1
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,abs_ptv_D95_diff,True,367,-0.0161,0.1792,-0.0344,0.0024,-0.09,0.4831,-1.726,0.0852,0.1079,0.0711,0.0901,51.0
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,ptv_Dmean_diff,True,367,-0.159,0.2959,-0.1901,-0.1281,-0.537,0.0,-10.292,0.0,0.0,0.0,0.0,60.5
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,abs_ptv_Dmean_diff,True,367,0.0735,0.2514,0.0478,0.0992,0.292,0.0,5.603,0.0,0.0,0.0,0.0,49.0
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,rectum_Dmean_diff,True,367,-0.0028,0.5894,-0.0627,0.0578,-0.005,0.017,-0.092,0.9267,0.9267,0.6432,0.6789,48.0
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,abs_rectum_Dmean_diff,True,367,0.0172,0.5245,-0.0366,0.0703,0.033,0.5002,0.627,0.5312,0.5937,0.4522,0.5054,47.1
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,bladder_Dmean_diff,True,367,0.1884,0.501,0.1367,0.2385,0.376,0.2017,7.203,0.0,0.0,0.0,0.0,34.1
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,abs_bladder_Dmean_diff,True,367,-0.01,0.4816,-0.0589,0.0398,-0.021,0.7999,-0.398,0.691,0.7294,0.734,0.734,50.1
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,Dice_100iso,False,367,-0.0009,0.0055,-0.0015,-0.0003,-0.16,0.0,-3.068,0.0023,0.0036,0.0034,0.0054,42.5
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,Dice_50iso,False,367,0.007,0.0143,0.0055,0.0085,0.489,0.2752,9.368,0.0,0.0,0.0,0.0,69.5
dgan_geom_effect,DoseGAN geom − DoseGAN baseline,HD95_100iso_mm,True,367,0.0308,0.2611,0.0042,0.0575,0.118,0.0,2.262,0.0243,0.033,0.0318,0.0432,6.5
model_base,DoseGAN baseline − U-Net baseline,body_MAE_Gy,True,367,0.0756,0.0996,0.0657,0.0859,0.759,0.0001,14.545,0.0,0.0,0.0,0.0,20.4
model_base,DoseGAN baseline − U-Net baseline,body_RMSE_Gy,True,367,0.1063,0.1656,0.0893,0.123,0.642,0.0,12.29,0.0,0.0,0.0,0.0,21.8
model_base,DoseGAN baseline − U-Net baseline,ptv_MAE_Gy,True,367,-0.1023,0.0852,-0.111,-0.0936,-1.201,0.0001,-23.005,0.0,0.0,0.0,0.0,86.9
model_base,DoseGAN baseline − U-Net baseline,rectum_MAE_Gy,True,367,0.2004,0.4165,0.1582,0.2445,0.481,0.0136,9.22,0.0,0.0,0.0,0.0,27.2
