fold,acquisition_group,count,mean,std,median,q25,q75
0,newAcq,19,0.8605321833961889,0.17908206319789408,0.8368112444877625,0.7540111243724823,0.9237645864486694
0,oldAcq,55,0.8593601725318215,0.22945948836090083,0.8209233283996582,0.7080972492694855,0.9580771327018738
1,newAcq,19,0.8488438474504572,0.15369054726278147,0.8323679566383362,0.7624418437480927,0.8682197630405426
1,oldAcq,55,0.9225618947635997,0.30048294695524436,0.8599563241004944,0.7191944718360901,1.0086164474487305
2,newAcq,18,0.8162377576033274,0.15242543033587624,0.7915819883346558,0.7028221040964127,0.9027813225984573
2,oldAcq,55,0.8443427584388039,0.25637759271617927,0.7700304985046387,0.6862687468528748,0.8932811319828033
3,newAcq,18,0.9097369445694817,0.17563590308848542,0.8761232495307922,0.8022911101579666,0.9514840096235275
3,oldAcq,55,0.9021841146729209,0.2056989452298859,0.8509649634361267,0.7585014700889587,0.9530809223651886
4,newAcq,19,0.7932165861129761,0.1273163687202606,0.7927342653274536,0.6868824362754822,0.898619532585144
4,oldAcq,54,0.8469238115681542,0.2077885685233461,0.7975572347640991,0.6684456765651703,0.9752875119447708
